recipe_id,name,cuisine,primary_protein,dietary_tag,prep_time_minutes,price_tier,description,calories,spice_level
R0001,Lemon-Basil Mushroom Polenta,Italian,mushroom,low-carb,20,Premium,"A lemon-basil italian-style polenta featuring mushroom, finished with chef-curated sides and a quick 33-minute prep.",634,0
R0002,Miso-Glazed Tofu Teriyaki Plate,Japanese,tofu,vegetarian,20,Standard,"A miso-glazed japanese-style teriyaki plate featuring tofu, finished with chef-curated sides and a weeknight-friendly 24-minute prep.",743,3
R0003,Smoky Bbq Tofu Skillet,American,tofu,vegan,40,Standard,"A smoky BBQ american-style skillet featuring tofu, finished with chef-curated sides and a restaurant-quality 16-minute prep.",599,3
R0004,Roasted Red Pepper Chickpea Grain Bowl,Mediterranean,chickpea,low-carb,35,Standard,"A roasted red pepper mediterranean-style grain bowl featuring chickpea, finished with chef-curated sides and a weeknight-friendly 35-minute prep.",660,0
R0005,Herb-Roasted Chicken Grain Bowl,American,chicken,dairy-free,25,Standard,"A herb-roasted american-style grain bowl featuring chicken, finished with chef-curated sides and a easy 40-minute prep.",687,1
R0006,Miso-Glazed Tofu Udon,Japanese,tofu,vegetarian,30,Standard,"A miso-glazed japanese-style udon featuring tofu, finished with chef-curated sides and a easy 20-minute prep.",679,2
R0007,Tonkatsu Tofu Udon,Japanese,tofu,vegetarian,20,Value,"A tonkatsu japanese-style udon featuring tofu, finished with chef-curated sides and a restaurant-quality 22-minute prep.",694,2
R0008,Yuzu Salmon Soba,Japanese,salmon,gluten-free,20,Standard,"A yuzu japanese-style soba featuring salmon, finished with chef-curated sides and a easy 33-minute prep.",549,3
R0009,Garlic-Herb Chicken Pasta,Italian,chicken,gluten-free,40,Standard,"A garlic-herb italian-style pasta featuring chicken, finished with chef-curated sides and a weeknight-friendly 27-minute prep.",637,2
R0010,Garlic Butter Turkey Sheet-Pan,American,turkey,none,25,Value,"A garlic butter american-style sheet-pan featuring turkey, finished with chef-curated sides and a weeknight-friendly 15-minute prep.",598,1
R0011,Tikka Masala Lamb Curry,Indian,lamb,none,40,Standard,"A tikka masala indian-style curry featuring lamb, finished with chef-curated sides and a restaurant-quality 22-minute prep.",573,1
R0012,Herb-Roasted Tofu Burger,American,tofu,vegetarian,20,Value,"A herb-roasted american-style burger featuring tofu, finished with chef-curated sides and a easy 36-minute prep.",578,0
R0013,Sesame-Ginger Beef Teriyaki Plate,Japanese,beef,none,40,Standard,"A sesame-ginger japanese-style teriyaki plate featuring beef, finished with chef-curated sides and a restaurant-quality 28-minute prep.",693,0
R0014,Smoky Adobo Beef Taco,Mexican,beef,gluten-free,40,Value,"A smoky adobo mexican-style taco featuring beef, finished with chef-curated sides and a weeknight-friendly 24-minute prep.",510,0
R0015,Lemongrass-Lime Pork Jasmine Rice,Thai,pork,none,20,Standard,"A lemongrass-lime thai-style jasmine rice featuring pork, finished with chef-curated sides and a restaurant-quality 40-minute prep.",517,3
R0016,Miso-Glazed Chicken Rice Bowl,Japanese,chicken,low-carb,35,Standard,"A miso-glazed japanese-style rice bowl featuring chicken, finished with chef-curated sides and a quick 26-minute prep.",646,0
R0017,Maple-Glazed Chicken Skillet,American,chicken,dairy-free,30,Standard,"A maple-glazed american-style skillet featuring chicken, finished with chef-curated sides and a easy 33-minute prep.",796,1
R0018,Garlic-Herb Mushroom Polenta,Italian,mushroom,vegetarian,20,Standard,"A garlic-herb italian-style polenta featuring mushroom, finished with chef-curated sides and a restaurant-quality 16-minute prep.",659,1
R0019,Za'Atar Chicken Grain Bowl,Mediterranean,chicken,none,40,Standard,"A za'atar mediterranean-style grain bowl featuring chicken, finished with chef-curated sides and a easy 39-minute prep.",689,2
R0020,Sweet Chili Tofu Rice Noodle,Thai,tofu,vegetarian,15,Standard,"A sweet chili thai-style rice noodle featuring tofu, finished with chef-curated sides and a easy 35-minute prep.",940,0
R0021,Garlic Butter Tofu Sheet-Pan,American,tofu,vegetarian,40,Standard,"A garlic butter american-style sheet-pan featuring tofu, finished with chef-curated sides and a restaurant-quality 21-minute prep.",552,1
R0022,Tangy Citrus Chicken Burrito Bowl,Mexican,chicken,low-carb,20,Value,"A tangy citrus mexican-style burrito bowl featuring chicken, finished with chef-curated sides and a weeknight-friendly 18-minute prep.",566,2
R0023,Creamy Parmesan Shrimp Pasta,Italian,shrimp,dairy-free,20,Premium,"A creamy parmesan italian-style pasta featuring shrimp, finished with chef-curated sides and a restaurant-quality 34-minute prep.",489,0
R0024,Fresh Pico Black Bean Taco,Mexican,black bean,vegetarian,25,Standard,"A fresh pico mexican-style taco featuring black bean, finished with chef-curated sides and a easy 36-minute prep.",722,3
R0025,Za'Atar Chickpea Couscous,Mediterranean,chickpea,none,20,Value,"A za'atar mediterranean-style couscous featuring chickpea, finished with chef-curated sides and a restaurant-quality 39-minute prep.",485,0
R0026,Vindaloo Lamb Curry,Indian,lamb,dairy-free,20,Standard,"A vindaloo indian-style curry featuring lamb, finished with chef-curated sides and a restaurant-quality 38-minute prep.",763,3
R0027,Creamy Parmesan Mushroom Risotto,Italian,mushroom,vegetarian,35,Value,"A creamy parmesan italian-style risotto featuring mushroom, finished with chef-curated sides and a restaurant-quality 17-minute prep.",485,2
R0028,Coconut Curry Chickpea Curry,Indian,chickpea,low-carb,35,Standard,"A coconut curry indian-style curry featuring chickpea, finished with chef-curated sides and a restaurant-quality 18-minute prep.",498,0
R0029,Roasted Poblano Beef Quesadilla,Mexican,beef,high-protein,25,Value,"A roasted poblano mexican-style quesadilla featuring beef, finished with chef-curated sides and a easy 28-minute prep.",774,0
R0030,Roasted Poblano Chicken Taco,Mexican,chicken,none,40,Standard,"A roasted poblano mexican-style taco featuring chicken, finished with chef-curated sides and a easy 28-minute prep.",523,2
R0031,Korma Lamb Curry,Indian,lamb,dairy-free,25,Premium,"A korma indian-style curry featuring lamb, finished with chef-curated sides and a restaurant-quality 18-minute prep.",566,0
R0032,Tandoori Chickpea Curry,Indian,chickpea,gluten-free,30,Premium,"A tandoori indian-style curry featuring chickpea, finished with chef-curated sides and a easy 39-minute prep.",595,1
R0033,Tzatziki Lamb Grain Bowl,Mediterranean,lamb,none,35,Premium,"A tzatziki mediterranean-style grain bowl featuring lamb, finished with chef-curated sides and a weeknight-friendly 18-minute prep.",826,1
R0034,Tangy Citrus Black Bean Enchilada,Mexican,black bean,vegetarian,40,Value,"A tangy citrus mexican-style enchilada featuring black bean, finished with chef-curated sides and a weeknight-friendly 35-minute prep.",539,0
R0035,Smoky Adobo Black Bean Burrito Bowl,Mexican,black bean,vegan,40,Standard,"A smoky adobo mexican-style burrito bowl featuring black bean, finished with chef-curated sides and a restaurant-quality 30-minute prep.",561,3
R0036,Lemon-Basil Shrimp Gnocchi,Italian,shrimp,gluten-free,20,Value,"A lemon-basil italian-style gnocchi featuring shrimp, finished with chef-curated sides and a restaurant-quality 37-minute prep.",478,1
R0037,Vindaloo Lentil Tikka Masala,Indian,lentil,none,25,Value,"A vindaloo indian-style tikka masala featuring lentil, finished with chef-curated sides and a restaurant-quality 16-minute prep.",810,2
R0038,Spicy Basil Tofu Curry,Thai,tofu,high-protein,15,Value,"A spicy basil thai-style curry featuring tofu, finished with chef-curated sides and a weeknight-friendly 19-minute prep.",468,1
R0039,Honey-Mustard Chicken Grain Bowl,American,chicken,none,25,Standard,"A honey-mustard american-style grain bowl featuring chicken, finished with chef-curated sides and a restaurant-quality 16-minute prep.",637,2
R0040,Sesame-Ginger Chicken Soba,Japanese,chicken,low-carb,30,Value,"A sesame-ginger japanese-style soba featuring chicken, finished with chef-curated sides and a restaurant-quality 37-minute prep.",929,0
R0041,Fresh Pico Black Bean Enchilada,Mexican,black bean,vegetarian,15,Standard,"A fresh pico mexican-style enchilada featuring black bean, finished with chef-curated sides and a easy 16-minute prep.",497,1
R0042,Garlic-Herb Eggplant Pasta,Italian,eggplant,high-protein,40,Premium,"A garlic-herb italian-style pasta featuring eggplant, finished with chef-curated sides and a weeknight-friendly 17-minute prep.",497,3
R0043,Lemongrass-Lime Pork Stir-Fry,Thai,pork,gluten-free,35,Standard,"A lemongrass-lime thai-style stir-fry featuring pork, finished with chef-curated sides and a weeknight-friendly 35-minute prep.",636,0
R0044,Tandoori Lentil Tikka Masala,Indian,lentil,vegetarian,20,Value,"A tandoori indian-style tikka masala featuring lentil, finished with chef-curated sides and a weeknight-friendly 21-minute prep.",426,0
R0045,Coconut Curry Tofu Rice Noodle,Thai,tofu,vegetarian,20,Standard,"A coconut curry thai-style rice noodle featuring tofu, finished with chef-curated sides and a easy 34-minute prep.",504,0
R0046,Lemongrass-Lime Tofu Curry,Thai,tofu,vegetarian,20,Standard,"A lemongrass-lime thai-style curry featuring tofu, finished with chef-curated sides and a restaurant-quality 35-minute prep.",811,1
R0047,Za'Atar Chickpea Flatbread,Mediterranean,chickpea,gluten-free,20,Standard,"A za'atar mediterranean-style flatbread featuring chickpea, finished with chef-curated sides and a weeknight-friendly 16-minute prep.",490,2
R0048,Roasted Red Pepper Lamb Flatbread,Mediterranean,lamb,gluten-free,15,Standard,"A roasted red pepper mediterranean-style flatbread featuring lamb, finished with chef-curated sides and a quick 31-minute prep.",700,2
R0049,Vindaloo Lentil Curry,Indian,lentil,low-carb,30,Standard,"A vindaloo indian-style curry featuring lentil, finished with chef-curated sides and a restaurant-quality 25-minute prep.",543,3
R0050,Korma Chicken Biryani,Indian,chicken,none,30,Value,"A korma indian-style biryani featuring chicken, finished with chef-curated sides and a weeknight-friendly 28-minute prep.",747,0
R0051,Tzatziki Lamb Pita,Mediterranean,lamb,dairy-free,35,Standard,"A tzatziki mediterranean-style pita featuring lamb, finished with chef-curated sides and a weeknight-friendly 38-minute prep.",393,0
R0052,Korma Lamb Curry,Indian,lamb,none,30,Standard,"A korma indian-style curry featuring lamb, finished with chef-curated sides and a quick 27-minute prep.",557,0
R0053,Tzatziki Salmon Pita,Mediterranean,salmon,dairy-free,20,Standard,"A tzatziki mediterranean-style pita featuring salmon, finished with chef-curated sides and a restaurant-quality 31-minute prep.",603,1
R0054,Chipotle-Lime Black Bean Taco,Mexican,black bean,vegetarian,25,Standard,"A chipotle-lime mexican-style taco featuring black bean, finished with chef-curated sides and a restaurant-quality 34-minute prep.",538,3
R0055,Korma Chickpea Tikka Masala,Indian,chickpea,vegetarian,40,Standard,"A korma indian-style tikka masala featuring chickpea, finished with chef-curated sides and a easy 31-minute prep.",712,1
R0056,Rustic Marinara Shrimp Gnocchi,Italian,shrimp,none,30,Standard,"A rustic marinara italian-style gnocchi featuring shrimp, finished with chef-curated sides and a weeknight-friendly 27-minute prep.",631,0
R0057,Garlic Butter Tofu Burger,American,tofu,vegetarian,25,Standard,"A garlic butter american-style burger featuring tofu, finished with chef-curated sides and a easy 23-minute prep.",677,2
R0058,Teriyaki Tofu Rice Bowl,Japanese,tofu,low-carb,20,Premium,"A teriyaki japanese-style rice bowl featuring tofu, finished with chef-curated sides and a restaurant-quality 32-minute prep.",697,2
R0059,Coconut Curry Chicken Dal,Indian,chicken,none,40,Value,"A coconut curry indian-style dal featuring chicken, finished with chef-curated sides and a weeknight-friendly 32-minute prep.",542,1
R0060,Tangy Citrus Carnitas Quesadilla,Mexican,carnitas,low-carb,30,Value,"A tangy citrus mexican-style quesadilla featuring carnitas, finished with chef-curated sides and a quick 22-minute prep.",607,0
R0061,Rustic Marinara Eggplant Polenta,Italian,eggplant,none,40,Value,"A rustic marinara italian-style polenta featuring eggplant, finished with chef-curated sides and a restaurant-quality 22-minute prep.",702,3
